EZE,Ministro Pistarini,Buenos Aires,Argentina,-34.8129,-58.5395
SCL,Arturo Merino Benitez,Santiago,Chile,-33.3931,-70.7850
BOG,El Dorado,Bogotá,Colombia,4.6981,-74.1469
LIM,Jorge Chávez,Lima,Peru,-12.0219,-77.1143
MEX,Benito Juárez,Mexico City,Mexico,19.4361,-99.0719
CUN,Cancún,Cancún,Mexico,21.0400,-86.8736
PTY,Tocumen,Panama City,Panama,9.0679,-79.3833
UIO,Mariscal Sucre,Quito,Ecuador,-0.1234,-78.3575
LAP,Manuel Márquez de León,La Paz,Mexico,24.0722,-110.3628
MVD,Carrasco,Montevideo,Uruguay,-34.8389,-56.0308
PUJ,Punta Cana,Punta Cana,Dominican Republic,18.5675,-68.3634
SDQ,Las Américas,Santo Domingo,Dominican Republic,18.4296,-69.6682
AEP,Jorge Newbery,Buenos Aires,Argentina,-34.5566,-58.4166
CLO,Alfonso Bonilla Aragón,Cali,Colombia,3.5432,-76.3816
MDZ,Governor Francisco Gabrielli,Mendoza,Argentina,-32.8317,-68.7926
ASU,Silvio Pettirossi,Asunción,Paraguay,-25.2416,-57.5198
ROS,Islas Malvinas,Rosario,Argentina,-32.9036,-60.7854
VVI,Viru Viru,Santa Cruz,Bolivia,-17.6457,-63.1405